word,definition,x,y,z,cluster
ANKUS,"'(Hindi) an elephant goad, also ANKUSH [n -ES]'",0.26921389,2.8921845,4.3392296,-1
ANKUSES,"'ANKUS, (Hindi) an elephant goad, also ANKUSH [n]'",0.29952827,2.998809,4.439589,-1
ANKUSH,"'(Hindi) an elephant goad, also ANKUS [n -ES]'",0.27894542,2.91088,4.363696,-1
ANKUSHES,"'ANKUSH, (Hindi) an elephant goad, also ANKUS [n]'",0.26891527,2.9520338,4.392432,-1
ANNA,'(Hindi) a former coin of India [n -S]',2.6069458,0.19687092,1.8934989,-1
ANNAS,"'ANNA, (Hindi) a former coin of India [n]'",2.796014,0.13938726,2.0021148,-1
ANNICUT,"'(Tamil) a dam or mole made in the course of a stream for the purpose of regulating the flow of a system of irrigation, also ANICUT [n -S]'",1.6004497,-1.1023417,3.3561957,-1
ANNICUTS,"'ANNICUT, (Tamil) a dam or mole made in the course of a stream for the purpose of regulating the flow of a system of irrigation, also ANICUT [n]'",1.6285974,-1.1457319,3.2873821,-1
APSARAS,'(Sanskrit) a divine water sprite [n -ES]',2.5059497,3.5368536,-0.41980886,-1
APSARASES,"'APSARAS, (Sanskrit) a divine water sprite [n]'",2.629743,3.579756,-0.2905029,-1
ARECA,"'(Malay) a tree of the betelnut genus of palms, native to SE Asia and the Indian subcontinent [n -S]'",0.67608446,2.1761937,7.778344,-1
ARECAS,"'ARECA, (Malay) a tree of the betelnut genus of palms, native to SE Asia and the Indian subcontinent [n]'",0.6614733,2.1070366,7.8119755,-1
ARGALA,'(Hindi) the adjutant stork of India [n -S]',1.3989909,3.706588,5.514556,-1
ARGALAS,"'ARGALA, (Hindi) the adjutant stork of India [n]'",1.5146046,3.7357836,5.6085715,-1
ARGUS,'(Greek) an East Indian pheasant with a long colourful tail with eyespots [n -ES]',1.269598,3.622073,5.754861,-1
ARGUSES,"'ARGUS, (Greek) an East Indian pheasant with a long colourful tail with eyespots [n]'",1.3193544,3.6209044,5.8653927,-1
ARHAT,'(Sanskrit) a Buddhist who has attained nirvana [n -S]',2.2171934,3.9777927,-1.5367745,-1
ARHATS,"'ARHAT, (Sanskrit) a Buddhist who has attained nirvana [n]'",2.2360358,3.9361491,-1.6757065,-1
ARNA,'(Hindi) an Indian water-buffalo [n -S]',0.7710049,3.679702,5.0422063,-1
ARNAS,"'ARNA, (Hindi) an Indian water-buffalo [n]'",0.62219477,3.8154218,5.054188,-1
ARROWROOT,'a West Indian plant with fleshy tuberous rhizomes; a pure edible starch made from this [n -S]',0.71817696,3.083148,8.046545,-1
ARROWROOTS,"'ARROWROOT, a West Indian plant with fleshy tuberous rhizomes; a pure edible starch made from this [n]'",0.6342505,2.7630165,8.380189,-1
ARTI,"'(Hindi) an Indian ceremony in which candles dipped in ghee are lighted and offered to various deities, also AARTI [n -S]'",1.3203528,2.725105,0.44711596,59
ARTIS,"'ARTI, (Hindi) an Indian ceremony in which candles dipped in ghee are lighted and offered to various deities, also AARTI [n]'",1.2631372,2.7104878,0.45257717,-1
ASANA,'(Sanskrit) a yoga posture [n -S]',2.2935894,4.939479,-1.8508337,104
ASANAS,"'ASANA, (Sanskrit) a yoga posture [n]'",2.2921429,4.910955,-1.831229,104
ASHRAM,"'(Sanskrit) the dwelling of a Hindu religious philosopher, also ASRAMA [n -S]'",1.6147856,3.054753,-0.9885392,-1
ASHRAMA,'(Sanskrit) any one of the four stages of life which a man should pass through [n -S]',2.0939465,3.277168,-1.0073739,-1
ASHRAMAS,"'ASHRAMA, (Sanskrit) any one of the four stages of life which a man should pass through [n]'",1.8387796,3.1610513,-0.996059,-1
ASHRAMS,"'ASHRAM, (Sanskrit) the dwelling of a Hindu religious philosopher, also ASRAMA [n]'",1.6188587,3.0698826,-0.9908647,-1
ASRAMA,"'(Sanskrit) the dwelling of a Hindu religious philosopher, also ASHRAM [n -S]'",1.5888735,3.0269122,-0.96629286,-1
ASRAMAS,"'ASRAMA, (Sanskrit) the dwelling of a Hindu religious philosopher, also ASHRAM [n]'",1.6320618,3.0770044,-0.9836183,-1
ASTANGA,"'(Sanskrit) a form of yoga, also ASHTANGA, ASTHANGA [n -S]'",2.3253944,5.0134506,-1.9323899,104
ASTANGAS,"'ASTANGA, (Sanskrit) a form of yoga, also ASHTANGA, ASTHANGA [n]'",2.2803767,4.968202,-1.8857938,104
ASTHANGA,"'(Sanskrit) a form of yoga, also ASHTANGA, ASTANGA [n -S]'",2.2849932,4.980374,-1.8972142,104
ASTHANGAS,"'ASTHANGA, (Sanskrit) a form of yoga, also ASHTANGA, ASTANGA [n]'",2.3077245,4.9547095,-1.8709953,104
ASURA,'(Sanskrit) a Hindu demon [n -S]',2.6225715,3.6015892,-0.33714098,-1
ASURAS,"'ASURA, (Sanskrit) a Hindu demon [n]'",2.649311,3.5929174,-0.3066681,-1
ATLATL,'(Nahuatl) an American Indian throwing stick [n -S]',0.13925932,6.184938,10.954263,-1
ATLATLS,"'ATLATL, (Nahuatl) an American Indian throwing stick [n]'",0.119869895,6.3141346,11.102454,-1
ATMA,"'(Sanskrit) the essential self, also ATMAN [n -S]'",2.3104017,3.5805907,-1.3231634,116
ATMAN,"'(Sanskrit) the essential self, also AATMAN, ATMA [n -S]'",2.3078232,3.6299365,-1.3152527,116
ATMANS,"'ATMAN, (Sanskrit) the essential self, also AATMAN, ATMA [n]'",2.2938018,3.506338,-1.3132195,116
ATMAS,"'ATMA, (Sanskrit) the essential self, also ATMAN [n]'",2.322738,3.5773256,-1.2910489,116
AUMIL,"'(Urdu) a factor or manager in India, a collector of revenues, also AMILDAR, AUMILDAR [n -S]'",0.6554541,-1.7399683,0.29862323,79
AUMILDAR,"'(Urdu) a factor or manager in India, a collector of revenues, also AMILDAR, AUMIL [n -S]'",0.67845786,-1.6999863,0.2949885,79
AUMILDARS,"'AUMILDAR, (Urdu) a factor or manager in India, a collector of revenues, also AMILDAR, AUMIL [n]'",0.72362906,-1.7061802,0.26225048,79
AUMILS,"'AUMIL, (Urdu) a factor or manager in India, a collector of revenues, also AMILDAR, AUMILDAR [n]'",0.68089914,-1.6783788,0.23551936,79
AUTORICKSHAW,"'a light, three-wheeled vehicle powered by a motorcycle engine, used in India, etc. [n -S]'",0.5992991,0.1577648,2.8353753,-1
AUTORICKSHAWS,"'AUTORICKSHAW, a light, three-wheeled vehicle powered by a motorcycle engine, used in India, etc. [n]'",0.58399403,0.13451591,2.8228874,-1
AVADAVAT,"'(Hindi) the strawberry finch, a small Indian song bird, commonly caged and kept for fighting, also AMADAVAT [n -S]'",1.6261302,3.776448,5.6339593,-1
AVADAVATS,"'AVADAVAT, (Hindi) the strawberry finch, a small Indian song bird, commonly caged and kept for fighting, also AMADAVAT [n]'",1.6151346,3.7650673,5.6572084,-1
AVATAR,'(Sanskrit) the incarnation of a Hindu deity [n -S]',2.4651663,3.6186416,-0.5255633,-1
AVATARS,"'AVATAR, (Sanskrit) the incarnation of a Hindu deity [n]'",2.5496805,3.5710814,-0.49839395,-1
AYAH,"'(Hindi) in India, a maid or nurse, also AIA [n -S]'",0.9274833,-0.12074222,0.6074716,-1
AYAHS,"'AYAH, (Hindi) in India, a maid or nurse, also AIA [n]'",0.900781,-0.19569938,0.5954003,-1
AYURVEDA,'(Sanskrit) the traditional system of Indian medicine [n -S]',2.1443112,4.6206026,-1.3093786,-1
AYURVEDAS,"'AYURVEDA, (Sanskrit) the traditional system of Indian medicine [n]'",2.1643806,4.646266,-1.3840358,-1
AYURVEDIC,"'relating to ayurveda, the traditional system of Indian medicine [adj]'",2.1629767,4.678006,-1.3709341,-1
AYURVEDICS,'the traditional system of Indian medicine [n]',2.1699126,4.6440115,-1.3686321,-1
BABLAH,"'(Hindi) a species of acacia from which gum arabic is obtained, also BABOOL, BABUL [n -S]'",-0.62829,1.2521782,7.8866873,105
BABLAHS,"'BABLAH, (Hindi) a species of acacia from which gum arabic is obtained, also BABOOL, BABUL [n]'",-0.61065114,1.2652904,7.8551297,105
BABOO,"'(Hindi) a native clerk who writes English; also, a Hindu title answering to Mr. or Esquire, also BABU [n -S]'",1.3484014,-0.46187174,0.02536797,-1
BABOOL,"'(Hindi) a species of acacia from which gum arabic is obtained, also BABLAH, BABUL [n -S]'",-0.5696086,1.3073684,7.902999,105
BABOOLS,"'BABOOL, (Hindi) a species of acacia from which gum arabic is obtained, also BABLAH, BABUL [n]'",-0.6050245,1.2725228,7.833366,105
BABOOS,"'BABOO, (Hindi) a native clerk who writes English; also, a Hindu title answering to Mr. or Esquire, also BABU [n]'",1.3548534,-0.4368427,0.021317875,-1
BABU,"'(Hindi) a native clerk who writes English; also, a Hindu title answering to Mr. or Esquire, also BABOO [n -S]'",1.3484747,-0.45690054,0.011033384,-1
BABUL,"'(Hindi) a species of acacia from which gum arabic is obtained, also BABLAH, BABOOL [n -S]'",-0.560134,1.3117146,7.887094,105
BABULS,"'BABUL, (Hindi) a species of acacia from which gum arabic is obtained, also BABLAH, BABOOL [n]'",-0.6207258,1.3306304,7.8503985,105
BABUS,"'BABU, (Hindi) a native clerk who writes English; also, a Hindu title answering to Mr. or Esquire, also BABOO [n]'",1.3988128,-0.42738995,0.0031328017,-1
BACHA,"'(Hinglish) in India, a young child, also BACHCHA [n -S]'",0.85317475,0.42341095,-0.18656418,5
BACHAS,"'BACHA, (Hinglish) in India, a young child, also BACHCHA [n]'",0.8589864,0.42719617,-0.18609282,5
BACHCHA,"'(Hinglish) in India, a young child, also BACHA [n -S]'",0.8865805,0.4069957,-0.15554424,5
BACHCHAS,"'BACHCHA, (Hinglish) in India, a young child, also BACHA [n]'",0.88192606,0.41359413,-0.19689338,5
BADAMASH,"'(Hindi) an evil-doer, a worthless person, also BADMASH, BUDMASH [n -ES]'",0.54389495,0.77121,0.22712763,9
BADAMASHES,"'BADAMASH, (Hindi) an evil-doer, a worthless person, also BADMASH, BUDMASH [n]'",0.5850066,0.7638917,0.25846797,9
BADMASH,"'(Urdu) an evildoer, a worthless person, also BUDMASH [n -ES]'",0.5279447,0.78909665,0.2077597,9
BADMASHES,"'BADMASH, (Urdu) an evildoer, a worthless person, also BUDMASH [n]'",0.60810775,0.7474715,0.2679112,9
BAEL,'(Hindi) a thorny Indian tree [n -S]',-0.71954995,1.3455789,7.7142453,114
BAELS,"'BAEL, (Hindi) a thorny Indian tree [n]'",-0.6534331,1.4859986,7.8442354,-1
BAFT,'(Urdu) a kind of coarse fabric [n -S]',-1.2352471,-0.6470622,1.40597,86
BAFTA,"'a coarse fabric made in India, also BAFT [n -S]'",-1.5654044,-0.47684282,1.633771,-1
BAFTAS,"'BAFTA, a coarse fabric made in India, also BAFT [n]'",-1.5686804,-0.43287292,1.6531377,-1
BAFTS,"'BAFT, (Urdu) a kind of coarse fabric [n]'",-1.4305238,-0.60832995,1.4578525,-1
BAGH,'(Hindi) a garden [n -S]',1.5410992,0.9011995,1.4387466,-1
BAGHS,"'BAGH, (Hindi) a garden [n]'",1.309291,1.1175289,1.345632,-1
BAHADUR,"'(Urdu) a Hindu title of respect, meaning hero or great one [n -S]'",0.56538904,-1.2097462,0.46928984,-1
BAHADURS,"'BAHADUR, (Urdu) a Hindu title of respect, meaning hero or great one [n]'",0.64848226,-1.1683515,0.33965236,-1
BAHU,"'(Hindi) a daughter-in-law, especially one who lives with her husband's family when married [n -S]'",0.91005373,0.9512432,0.7701466,-1
BAHUS,"'BAHU, (Hindi) a daughter-in-law, especially one who lives with her husband's family when married [n]'",0.8456698,1.128362,0.8419851,-1
BAHUVRIHI,"'(Sanskrit) a class of compound words where the first element describes the second but cannot substitute for it, e.g. turncoat [n -S]'",2.0206602,3.0720196,-1.1523014,6
BAHUVRIHIS,"'BAHUVRIHI, (Sanskrit) a class of compound words where the first element describes the second but cannot substitute for it, e.g. turncoat [n]'",2.0137088,3.0511942,-1.1234398,6
BAJRA,"'(Hindi) in the Indian subcontinent, pearl millet or a similar grain, also BAJREE, BAJRI [n -S]'",1.0784315,-1.4828489,9.870421,100
BAJRAS,"'BAJRA, (Hindi) in the Indian subcontinent, pearl millet or a similar grain, also BAJREE, BAJRI [n]'",1.1327696,-1.5180724,9.913611,100
BAJREE,"'(Hindi) in the Indian subcontinent, pearl millet or a similar grain, also BAJRA, BAJRI [n -S]'",1.0895156,-1.5040398,9.880713,100
BAJREES,"'BAJREE, (Hindi) in the Indian subcontinent, pearl millet or a similar grain, also BAJRA, BAJRI [n]'",1.1311604,-1.5203607,9.911827,100
BAJRI,"'(Hindi) in the Indian subcontinent, pearl millet or a similar grain, also BAJRA, BAJREE [n -S]'",1.0885952,-1.5027679,9.881676,100
BAJRIS,"'BAJRI, (Hindi) in the Indian subcontinent, pearl millet or a similar grain, also BAJRA, BAJREE [n]'",1.1332953,-1.5268633,9.914985,100
BALOO,"'(Hindi) a bear, also BALU [n -S]'",0.7774886,3.9529815,5.267399,-1
BALOOS,"'BALOO, (Hindi) a bear, also BALU [n]'",0.6854796,3.9163527,5.275944,-1
BALTI,'(Hindi) a spicy Indian dish [n -S]',-1.5303688,-1.6375668,8.665452,126
BALTIS,"'BALTI, (Hindi) a spicy Indian dish [n]'",-1.7025994,-1.6283723,8.619604,-1
BALU,"'(Hindi) a bear, also BALOO [n -S]'",0.7232815,3.9777303,5.2987986,-1
BALUS,"'BALU, (Hindi) a bear, also BALOO [n]'",0.76720035,3.8617883,5.382191,-1
BANDANA,"'(Hindi) a large coloured handkerchief or headscarf, also BANDANNA [n -S]'",-1.3977395,0.38254306,1.4770757,-1
BANDANAS,"'BANDANA, (Hindi) a large coloured handkerchief or headscarf, also BANDANNA [n]'",-1.5396712,0.29834685,1.4203917,-1
BANDANNA,"'(Hindi) a coloured silk or cotton handkerchief or headscarf, also BANDANA [n -S]'",-1.4875096,0.22786556,1.4736795,-1
BANDANNAS,"'BANDANNA, (Hindi) a coloured silk or cotton handkerchief or headscarf, also BANDANA [n]'",-1.5400698,0.2921223,1.450277,-1
BANDAR,'(Hindi) a rhesus monkey [n -S]',0.8973612,3.5064404,5.3688693,-1
BANDARI,"'(Hindi) a female monkey or a cheeky girl, also BANDARIYA [n -S]'",0.93082654,3.3552606,5.2876935,-1
BANDARIS,"'BANDARI, (Hindi) a female monkey or a cheeky girl, also BANDARIYA [n]'",0.9248921,3.3515325,5.3094196,-1
BANDARIYA,"'(Hindi) a female monkey or a cheeky girl, also BANDARI [n -S]'",0.92483556,3.3600166,5.305513,-1
BANDARIYAS,"'BANDARIYA, (Hindi) a female monkey or a cheeky girl, also BANDARI [n]'",0.93264264,3.308936,5.303085,-1
BANDARS,"'BANDAR, (Hindi) a rhesus monkey [n]'",0.82740754,3.4994845,5.454344,-1
BANDH,"'(Hindi) in India, a general strike, also BUNDH [n -S]'",2.383136,0.34065786,1.0285012,-1
BANDHS,"'BANDH, (Hindi) in India, a general strike, also BUNDH [n]'",2.3578305,0.34145948,1.019366,-1
BANDICOOT,"'a species of very large rat, found in India and Ceylon [n -S] / to remove potatoes from the ground leaving the tops undisturbed [v BANDICOOTED, BANDICOOTING, BANDICOOTS]'",0.8098426,2.2571702,8.561432,-1
BANDOBAST,"'(Urdu) an organisation, also BANDOBUST, BUNDOBUST [n -S]'",0.08469634,-1.4411314,0.5564424,27
BANDOBASTS,"'BANDOBAST, (Urdu) an organisation, also BANDOBUST, BUNDOBUST [n]'",0.02406877,-1.3837522,0.5310968,27
BANDOBUST,"'(Urdu) (in India and Pakistan) an arrangement, also BANDOBAST, BUNDOBUST [n -S]'",0.0022040014,-1.420082,0.57882243,27
BANDOBUSTS,"'BANDOBUST, (Urdu) (in India and Pakistan) an arrangement, also BANDOBAST, BUNDOBUST [n]'",0.00491252,-1.3664217,0.6132975,27
BANDOOK,"'(Urdu) Indian army slang for a rifle, a shotgun, also BUNDOOK [n -S]'",-0.58704054,-2.135462,1.1453965,-1
BANDOOKS,"'BANDOOK, (Urdu) Indian army slang for a rifle, a shotgun, also BUNDOOK [n]'",-0.4704785,-2.1452894,1.1038749,-1
BANDYMAN,"'in India, one who drives a bandy, a carriage or bullock cart [n BANDYMEN]'",0.5220362,-0.2367006,1.9487147,-1
BANDYMEN,"'BANDYMAN, in India, one who drives a bandy, a carriage or bullock cart [n]'",0.5118645,-0.23666517,2.0042908,-1
BANGLE,'(Hindi) a rigid ring as a bracelet or anklet [n -S]',-0.7920024,1.5191493,1.2206705,-1
BANGLES,"'BANGLE, (Hindi) a rigid ring as a bracelet or anklet [n]'",-0.81613034,1.4901582,1.1189994,-1
BANGSRING,"'(Javanese) a tree-shrew, an East Indian insectivorous mammal, also BANXRING [n -S]'",0.74176437,3.2452486,6.028309,-1
BANGSRINGS,"'BANGSRING, (Javanese) a tree-shrew, an East Indian insectivorous mammal, also BANXRING [n]'",0.74568224,3.28207,5.9931746,-1
BANIA,'(Hindi) an Indian fig tree [n -S]',-0.810937,1.3708416,7.640406,114
BANIAN,'(Hindi) a Hindu trader [n -S]',1.2882565,0.4474032,1.1631715,-1
BANIANS,"'BANIAN, (Hindi) a Hindu trader [n]'",1.2931409,0.2764094,1.4658835,-1
BANIAS,"'BANIA, (Hindi) an Indian fig tree [n]'",-0.77209115,1.4514735,7.7229285,-1
BANXRING,"'(Javanese) a tree-shrew, an E. Indian insectivorous mammal, also BANGSRING [n -S]'",0.7421636,3.2589872,6.0076113,-1
BANXRINGS,"'BANXRING, (Javanese) a tree-shrew, an E. Indian insectivorous mammal, also BANGSRING [n]'",0.7637135,3.2918925,6.0126896,-1
BANYAN,"'(Hindi) an Indian fig tree with vast spreading branches; a Hindu trader, also BANIA, BANIAN [n -S]'",-0.7995643,1.4483413,7.56927,-1
BANYANS,"'BANYAN, (Hindi) an Indian fig tree with vast spreading branches; a Hindu trader, also BANIA, BANIAN [n]'",-0.8171842,1.5258789,7.6046877,-1
